fok_20,novelty_20,bt,fail,log_cit_10
6.0,19.0,4.282115869017632,17.12846347607053,2.7987789210866767
18.0,4.0,1.8037518037518037,22.943722943722943,2.5431367610452296
0.0,4.0,1.8724921979491753,18.76950512706197,2.6528643159794485
5.0,4.0,2.1925133689839575,18.449197860962567,2.639021214537131
3.0,19.0,3.762376237623762,19.10891089108911,2.776204814177621
3.0,4.0,2.1540118470651586,18.632202477113623,2.6327440746245014
11.0,4.0,1.8979057591623036,21.400523560209425,2.58720903185079
6.0,4.0,0.8849557522123894,19.303097345132745,2.5758920376406826
8.0,4.0,1.9122609673790776,20.191226096737907,2.576404390615686
15.0,12.0,2.6565464895635675,22.074636306135357,2.5562829342420916
7.0,18.0,3.5150645624103296,18.29268292682927,2.7502730297081825
12.0,4.0,1.5772870662460567,19.43217665615142,2.58919831090368
3.0,13.0,1.7964071856287425,18.83505715841045,2.6335707668927433
17.0,4.0,2.9085872576177287,19.598337950138504,2.6203762462826083
15.0,4.0,1.8698060941828254,21.67590027700831,2.5403961737488396
4.0,16.0,2.662929222144359,20.042046250875963,2.647974131884637
19.0,4.0,2.1303258145363406,22.807017543859647,2.517153382059079
13.0,4.0,1.9528619528619526,19.326599326599325,2.6332145491978354
19.0,5.0,2.3091725465041693,20.974983964079538,2.547300657024916
17.0,5.0,2.859087814840027,21.715452688904016,2.569149020208729
14.0,4.0,2.106649111257406,22.251481237656353,2.5114193535011062
16.0,4.0,1.9985724482512492,21.627408993576015,2.5478915350367397
8.0,5.0,1.7553793884484712,19.25254813137033,2.6034780501606742
14.0,14.0,3.1108597285067874,21.66289592760181,2.577573052753717
7.0,4.0,1.3333333333333335,21.61111111111111,2.5222544454832585
9.0,4.0,1.8181818181818181,19.829545454545457,2.578750012325439
10.0,4.0,2.692778457772338,21.052631578947366,2.592443643546617
18.0,5.0,2.235039653929344,20.76423936553713,2.5714636140407254
6.0,15.0,2.8735632183908044,19.284802043422733,2.6509227039139605
2.0,5.0,1.2121212121212122,17.024793388429753,2.6052169486819445
16.0,5.0,2.898550724637681,22.608695652173914,2.5683701180213228
10.0,16.0,3.4545454545454546,18.606060606060606,2.684951291606662
5.0,5.0,1.8591549295774648,19.154929577464788,2.6055681312177086
7.0,5.0,1.8140589569160999,20.464852607709748,2.5517158274899283
9.0,5.0,1.7554125219426564,21.240491515506143,2.5540579361464673
10.0,5.0,1.9888129272840271,20.571783716594158,2.5751975687574826
11.0,12.0,1.884570082449941,20.61248527679623,2.6030489287091356
0.0,5.0,2.3118544023610426,20.01967535661584,2.6567814035036994
6.0,5.0,1.2507444907683145,19.416319237641453,2.5830036349434784
